Classe;CODIGO;NOME;NOME_ABREV;Pes;Tipo
ICC;27673;ICC - Pessoas físicas - Crédito não consignado;ICC_PF_CRDPESNAOCONSIGNADO;PF;Livre
ICC;27674;ICC - Pessoas físicas - Crédito pessoal não consignado vinculado à composição de dívidas;ICC_PF_CRDPESNAOCONVINCOMPOSICAO;PF;Livre
ICC;27676;ICC - Pessoas físicas - Crédito pessoal consignado para trabalhadores do setor público;ICC_PF_CRDPESCONTRASETPUBLICO;PF;Livre
ICC;27675;ICC - Pessoas físicas - Crédito pessoal consignado para trabalhadores do setor privado;ICC_PF_CRDPESCONTRASETPRIVADO;PF;Livre
ICC;27677;ICC - Pessoas físicas - Crédito pessoal consignado para aposentados e pensionistas do INSS;ICC_PF_CRDPESCONAPOINSS;PF;Livre
ICC;27713;ICC - Pessoas físicas - Financiamento imobiliário com taxas de mercado;ICC_PF_FINIMOBMERCADO;PF;Direcionado
ICC;27710;ICC - Pessoas físicas - Crédito rural com taxas de mercado;ICC_PF_CRDRURMERCADO;PF;Direcionado
ICC;27680;ICC - Pessoas físicas - Aquisição de veículos;ICC_PF_AQUVEICULOS;PF;Livre
ICC;27681;ICC - Pessoas físicas - Aquisição de outros bens;ICC_PF_AQUOUTBENS;PF;Livre
ICC;27682;ICC - Pessoas físicas - Arrendamento mercantil de veículos;ICC_PF_ARRMERVEICULOS;PF;Livre
ICC;27683;ICC - Pessoas físicas - Arrendamento mercantil de outros bens;ICC_PF_ARRMEROUTBENS;PF;Livre
ICC;27687;ICC - Pessoas físicas - Desconto de Cheques;ICC_PF_DESCHEQUES;PF;Livre
ICC;27711;ICC - Pessoas físicas - Crédito rural com taxas reguladas;ICC_PF_CRDRURREGULADAS;PF;Direcionado
ICC;27714;ICC - Pessoas físicas - Financiamento imobiliário com taxas reguladas;ICC_PF_FINIMOBREGULADAS;PF;Direcionado
ICC;27716;ICC - Pessoas físicas - Financiamento de investimentos com recursos do BNDES;ICC_PF_FININVRECBNDES;PF;Direcionado
ICC;27717;ICC - Pessoas físicas - Agroindustrial com recursos do BNDES;ICC_PF_FINAGRRECBNDES;PF;Direcionado
ICC;27718;ICC - Pessoas físicas - Microcrédito;ICC_PF_MICMICROEMPREENDEDOR;PF;Direcionado
ICC;27671;ICC - Pessoas físicas - Crédito parcelado - Livre - Total;ICC_PF_PARCELADO_RL_TOTAL;PF;Livre
ICC;27649;ICC - Pessoas jurídicas - Desconto de Duplicatas e recebíveis;ICC_PJ_DESDUPLICATAS;PJ;Livre
ICC;27650;ICC - Pessoas jurídicas - Desconto de Cheques;ICC_PJ_DESCHEQUES;PJ;Livre
ICC;27651;ICC - Pessoas jurídicas - Antecipação de faturas de cartão;ICC_PJ_ANTFATCARCREDITO;PJ;Livre
ICC;27652;ICC - Pessoas jurídicas - Capital de giro com prazo de até 365 dias;ICC_PJ_CAPGIRPRZATE365;PJ;Livre
ICC;27653;ICC - Pessoas jurídicas - Capital de giro com prazo superior a 365 dias;ICC_PJ_CAPGIRPRZSUP365;PJ;Livre
ICC;27691;ICC - Pessoas jurídicas - Financiamento imobiliário com taxas de mercado;ICC_PJ_FINIMOBMERCADO;PJ;Direcionado
ICC;27688;ICC - Pessoas jurídicas - Crédito rural com taxas de mercado;ICC_PJ_CRDRURMERCADO;PJ;Direcionado
ICC;27658;ICC - Pessoas jurídicas - Aquisição de veículos;ICC_PJ_AQUVEICULOS;PJ;Livre
ICC;27659;ICC - Pessoas jurídicas - Aquisição de outros bens;ICC_PJ_AQUOUTBENS;PJ;Livre
ICC;27660;ICC - Pessoas jurídicas - Arrendamento mercantil de veículos;ICC_PJ_ARRMERVEICULOS;PJ;Livre
ICC;27661;ICC - Pessoas jurídicas - Arrendamento mercantil de outros bens;ICC_PJ_ARRMEROUTBENS;PJ;Livre
ICC;27662;ICC - Pessoas jurídicas - Vendor;ICC_PJ_VENDOR;PJ;Livre
ICC;27663;ICC - Pessoas jurídicas - Compror;ICC_PJ_COMPROR;PJ;Livre
ICC;27667;ICC - Pessoas jurídicas - Adiantamentos sobre contratos de câmbio (ACC);ICC_PJ_ACC;PJ;Livre
ICC;27668;ICC - Pessoas jurídicas - Financiamento a importações;ICC_PJ_FINIMPORTACOES;PJ;Livre
