data_base;uf;segmento;carteira_ativa;carteira_inadimplencia;inadimplencia_pct
2025-03-31;AC;Banco;1138043072.52;85683061.78999999;7.53
2025-03-31;AC;Fintech;1489978.65;60396.17;4.05
2025-03-31;AL;Banco;5298308289.68;478518620.78;9.03
2025-03-31;AL;Fintech;9672615.92;361551.79;3.74
2025-03-31;AM;Banco;5632951303.16;443425144.06;7.87
2025-03-31;AM;Fintech;6155519.91;396040.25;6.43
2025-03-31;AP;Banco;1219228934.52;89942578.65;7.38
2025-03-31;AP;Fintech;1775354.6199999999;145636.35;8.2
2025-03-31;BA;Banco;25006045135.39;1964181793.71;7.85
2025-03-31;BA;Fintech;44921766.36;1581609.71;3.52
2025-03-31;CE;Banco;13640553241.69;1121038477.77;8.22
2025-03-31;CE;Fintech;31654347.6;1251395.33;3.95
2025-03-31;DF;Banco;12070564021.38;680027971.85;5.63
2025-03-31;DF;Fintech;9369470.86;268916.23;2.87
2025-03-31;ES;Banco;8571278978.2;495350935.63;5.78
2025-03-31;ES;Fintech;12200051.3;394449.56;3.23
2025-03-31;GO;Banco;15898795873.6;1193791118.1100001;7.51
2025-03-31;GO;Fintech;17462678.17;496017.32;2.84
2025-03-31;MA;Banco;6344762769.7;483851058.44;7.63
2025-03-31;MA;Fintech;8267244.16;501626.35000000003;6.07
2025-03-31;MG;Banco;43202650414.91;2425527064.85;5.61
2025-03-31;MG;Fintech;49943280.91;985767.17;1.97
2025-03-31;MS;Banco;5877772564.8;414195078.6;7.05
2025-03-31;MS;Fintech;7225647.8;231360.13999999998;3.2
2025-03-31;MT;Banco;7598758468.03;506653886.84;6.67
2025-03-31;MT;Fintech;11435849.29;304948.4;2.67
2025-03-31;PA;Banco;9136846271.66;747397273.27;8.18
2025-03-31;PA;Fintech;17644409.669999998;986898.07;5.59
2025-03-31;PB;Banco;7059795777.59;548584297.84;7.77
2025-03-31;PB;Fintech;21452214.55;736130.72;3.43
2025-03-31;PE;Banco;17193532840.12;1474855742.87;8.58
2025-03-31;PE;Fintech;41126086.88;1755249.78;4.27
2025-03-31;PI;Banco;3508720099.85;280961101.36;8.01
2025-03-31;PI;Fintech;26315294.34;227924.72;0.87
2025-03-31;PR;Banco;26187346433.72;1566239802.95;5.98
2025-03-31;PR;Fintech;35507250.29;841933.65;2.37
2025-03-31;RJ;Banco;46012808008.46;3068032249.11;6.67
2025-03-31;RJ;Fintech;38781810.25;2167216.0;5.59
2025-03-31;RN;Banco;6263799169.92;544774772.26;8.7
2025-03-31;RN;Fintech;14080633.69;768785.14;5.46
2025-03-31;RO;Banco;3106400218.65;179208073.22;5.77
2025-03-31;RO;Fintech;2784110.75;101277.79;3.64
2025-03-31;RR;Banco;972808065.6;78807566.85;8.1
2025-03-31;RR;Fintech;2002795.0799999998;79945.33;3.99
2025-03-31;RS;Banco;19940929390.71;1193204229.86;5.98
2025-03-31;RS;Fintech;26679954.09;1242357.57;4.66
2025-03-31;SC;Banco;17838170200.98;826610174.35;4.63
2025-03-31;SC;Fintech;35228469.78;339065.73;0.96
2025-03-31;SE;Banco;4534944380.45;370318203.69;8.17
2025-03-31;SE;Fintech;6009748.48;261342.9;4.35
2025-03-31;SP;Banco;142464868858.16;8899056587.3;6.25
2025-03-31;SP;Fintech;193357910.62;4747441.96;2.46
2025-03-31;TO;Banco;2432501861.64;170348803.58;7.0
2025-03-31;TO;Fintech;2663773.87;97230.74;3.65
2025-06-30;AC;Banco;1170364496.06;89433272.55;7.64
2025-06-30;AC;Fintech;1749715.7200000002;150268.57;8.59
2025-06-30;AL;Banco;5400603451.62;515080088.09;9.54
2025-06-30;AL;Fintech;11021691.950000001;637678.56;5.79
2025-06-30;AM;Banco;5745511234.45;486992671.91;8.48
2025-06-30;AM;Fintech;7532817.4;599586.83;7.96
2025-06-30;AP;Banco;1305151815.08;97882622.89;7.5
2025-06-30;AP;Fintech;2136061.44;306155.42;14.33
2025-06-30;BA;Banco;25459263461.66;2085939930.74;8.19
2025-06-30;BA;Fintech;51780925.88;2312016.89;4.46
2025-06-30;CE;Banco;14096840362.73;1191086804.4;8.45
2025-06-30;CE;Fintech;36009974.93;2105221.12;5.85
2025-06-30;DF;Banco;12229165665.31;751814585.51;6.15
2025-06-30;DF;Fintech;9969832.7;330451.54;3.31
2025-06-30;ES;Banco;8779958333.9;530679121.79;6.04
2025-06-30;ES;Fintech;16402563.97;468725.22;2.86
2025-06-30;GO;Banco;16336301228.07;1308957977.3;8.01
2025-06-30;GO;Fintech;17030270.13;790131.29;4.64
2025-06-30;MA;Banco;6634672464.83;518273912.49;7.81
2025-06-30;MA;Fintech;9866797.63;764206.39;7.75
2025-06-30;MG;Banco;44215499603.18;2530846065.99;5.72
2025-06-30;MG;Fintech;53712118.78;1499376.24;2.79
2025-06-30;MS;Banco;6079869319.64;440150008.59999996;7.24
2025-06-30;MS;Fintech;5385623.55;329078.54;6.11
2025-06-30;MT;Banco;7824556244.45;549678980.0;7.03
2025-06-30;MT;Fintech;12933823.9;556501.16;4.3
2025-06-30;PA;Banco;9440571188.45;783762923.22;8.3
2025-06-30;PA;Fintech;20760707.45;1797130.8900000001;8.66
2025-06-30;PB;Banco;7181618485.59;592775185.68;8.25
2025-06-30;PB;Fintech;21460726.91;1059852.28;4.94
2025-06-30;PE;Banco;17481799946.27;1575741646.5;9.01
2025-06-30;PE;Fintech;47281533.32;2747013.27;5.81
2025-06-30;PI;Banco;3627945345.38;304440541.56;8.39
2025-06-30;PI;Fintech;25291404.830000002;348656.01;1.38
2025-06-30;PR;Banco;26763595557.26;1698313036.97;6.35
2025-06-30;PR;Fintech;35089084.01;1436091.42;4.09
2025-06-30;RJ;Banco;46115866200.090004;3233432804.41;7.01
2025-06-30;RJ;Fintech;44519475.42;2784242.93;6.25
2025-06-30;RN;Banco;6428183984.91;594946140.99;9.26
2025-06-30;RN;Fintech;17561920.779999997;1077919.17;6.14
2025-06-30;RO;Banco;3204023988.2200003;191428709.82;5.97
2025-06-30;RO;Fintech;3319080.4;162464.5;4.89
2025-06-30;RR;Banco;1006596339.21;83637358.94;8.31
2025-06-30;RR;Fintech;2257269.8;133400.19999999998;5.91
2025-06-30;RS;Banco;20316805884.63;1319222172.08;6.49
2025-06-30;RS;Fintech;32533018.81;2251691.8;6.92
2025-06-30;SC;Banco;18298789480.46;871840792.11;4.76
2025-06-30;SC;Fintech;31695237.12;1131124.47;3.57
2025-06-30;SE;Banco;4645832361.54;406044663.69;8.74
2025-06-30;SE;Fintech;7418275.41;458924.56;6.19
2025-06-30;SP;Banco;146515633110.12;9451153375.75;6.45
2025-06-30;SP;Fintech;195677870.72;6038460.07;3.09
2025-06-30;TO;Banco;2543057243.95;188765320.8;7.42
2025-06-30;TO;Fintech;3121429.5300000003;117011.18;3.75
2025-09-30;AC;Banco;1212245511.38;110076193.35000001;9.08
2025-09-30;AC;Fintech;1571566.1;221176.43;14.07
2025-09-30;AL;Banco;5629381389.29;576495280.21;10.24
2025-09-30;AL;Fintech;10612299.72;880355.25;8.3
2025-09-30;AM;Banco;5985989236.61;561638253.23;9.38
2025-09-30;AM;Fintech;7234043.49;1267279.98;17.52
2025-09-30;AP;Banco;1350932700.96;121203615.81;8.97
2025-09-30;AP;Fintech;2001166.69;455463.6;22.76
